ID,Name,Email,Group,Phone,ZIP,Country,State/Province,"Customer Since","Web Site","Confirmed email","Account Created in","Billing Address","Shipping Address","Date of Birth","Tax VAT Number",Gender,"Street Address",City,Fax,"VAT Number",Company,"Billing Firstname","Billing Lastname","Account Lock"
354,"prefijo prueba test sujifo",user_8oqo2@random.com,General,,," ",,"Mar 8, 2026 09:54:19 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
355,"prefijo prueba test sujifo",user_4luf1@random.com,General,,," ",,"Mar 8, 2026 09:55:55 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
356,"prefijo prueba test sujifo",user_h2xrn@random.com,General,,," ",,"Mar 8, 2026 10:02:12 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
357,"prefijo prueba test sujifo",user_dotpg@random.com,General,,," ",,"Mar 8, 2026 10:12:30 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
358,"prefijo prueba test sujifo",user_frtf2@random.com,General,,," ",,"Mar 8, 2026 10:13:46 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
359,"prefijo prueba test sujifo",user_aogb2@random.com,General,,," ",,"Mar 8, 2026 10:18:34 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
360,"prefijo prueba test sujifo",user_scwab@random.com,General,,," ",,"Mar 8, 2026 10:20:47 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
361,"prefijo prueba test sujifo",user_uwpfo@random.com,General,,," ",,"Mar 8, 2026 10:53:50 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
362,"prefijo prueba test sujifo",user_3880f@random.com,General,,," ",,"Mar 8, 2026 02:12:29 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
363,"prefijo prueba test sujifo",user_5fsz9@random.com,General,,," ",,"Mar 8, 2026 02:15:18 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
364,"prefijo prueba test sujifo",user_jetof@random.com,General,,," ",,"Mar 8, 2026 02:15:57 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
365,"prueba 1",prueba@test1.com,General,,," ",,"Mar 8, 2026 05:10:09 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
366,"prefijo prueba test sujifo",user_u2ldo@random.com,General,,," ",,"Mar 8, 2026 08:01:19 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
367,"prefijo prueba test sujifo",user_3nrjt@random.com,General,,," ",,"Mar 8, 2026 08:03:57 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
368,"prefijo prueba test sujifo",user_l40lp@random.com,General,,," ",,"Mar 8, 2026 08:05:35 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
369,"prefijo prueba test sujifo",user_3oa7r@random.com,General,,," ",,"Mar 8, 2026 08:08:15 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
370,"prefijo prueba test sujifo",user_2ym9e@random.com,General,,," ",,"Mar 8, 2026 08:12:12 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
371,"prefijo prueba test sujifo",user_cuui8@random.com,General,,," ",,"Mar 8, 2026 08:14:10 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
372,"prefijo prueba test sujifo",user_xw3eb@random.com,General,,," ",,"Mar 8, 2026 08:19:35 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
373,"prefijo prueba test sujifo",user_0kcf0@random.com,General,,," ",,"Mar 8, 2026 08:21:26 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
374,"prefijo prueba test sujifo",user_igoio@random.com,General,,," ",,"Mar 8, 2026 09:04:45 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
375,"prefijo prueba test sujifo",user_zzunj@random.com,General,,," ",,"Mar 8, 2026 11:24:53 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
376,"prefijo prueba test sujifo",user_yurkp@random.com,General,,," ",,"Mar 8, 2026 11:57:18 PM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
377,"prefijo prueba test sujifo",user_nt2n2@random.com,General,,," ",,"Mar 9, 2026 12:16:56 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
378,"prefijo prueba test sujifo",user_mrbg6@random.com,General,,," ",,"Mar 9, 2026 12:19:13 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
379,"prefijo prueba test sujifo",user_29ur3@random.com,General,,," ",,"Mar 9, 2026 12:21:36 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
380,"prefijo prueba test sujifo",user_8tq75@random.com,General,,," ",,"Mar 9, 2026 12:29:48 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
381,"prefijo prueba test sujifo",user_g6vne@random.com,General,,," ",,"Mar 9, 2026 12:32:20 AM","Main Website","Confirmation Not Required","Default Store View",,,,,N/A,,,,,,,,Unlocked
